1,0,0,0,0,1,0,0,0,0,1,0,3,0,17.36,1|
1,0,0,0,0,1,0,0,0,0,1,0,3,0,16.98,1|
1,0,0,0,0,1,0,0,0,0,1,0,3,0,16.62,1|
1,0,0,0,0,1,0,0,0,0,1,0,3,0,16.3,1|
0.942755,0,0.333487,0,0,1,0,0,-0.333487,0,0.942755,0,3,0,16.3,1|
0.942755,0,0.333487,0,0,1,0,0,-0.333487,0,0.942755,0,2.91329,0,16.5451,1|
0.942755,0,0.333487,0,0,1,0,0,-0.333487,0,0.942755,0,2.91329,0,16.5451,1|
0.942755,0,0.333487,0,0,1,0,0,-0.333487,0,0.942755,0,2.83993,0,16.7525,1|
0.942755,0,0.333487,0,0,1,0,0,-0.333487,0,0.942755,0,2.77323,0,16.9411,1|
0.992809,0,0.119712,0,0,1,0,0,-0.119712,0,0.992809,0,2.77323,0,16.9411,1|
0.992809,0,0.119712,0,0,1,0,0,-0.119712,0,0.992809,0,2.77323,0,16.9411,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.77323,0,16.9411,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.79122,0,17.2406,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.77683,0,17.001,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.76483,0,16.8013,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.75044,0,16.5618,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.72406,0,16.1226,1|
0.998201,0,-0.0599641,0,0,1,0,0,0.0599641,0,0.998201,0,2.70367,0,15.7832,1|
